"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-01-27",,"1.70",,,,,"22","16.5",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-01-28",,"1.70",,,,,"15","19.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-01-29",,"0.60",,,,,"14","19.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-01-30",,"0.40",,,,,"11","19.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-01-31",,"0.30",,,,,"19","19.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-01",,"0.00",,,,,"25","19.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-02",,"0.00",,,,,"24","20.5",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-03",,"0.20",,,,,"22","20.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-04",,"0.00",,,,,"26","20.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-05",,"0.00",,,,,"19","20.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-06",,"0.00",,,,,"21","20.9",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-07",,"0.00",,,,,"28","20.9",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-08",,"0.50",,,,,"22","21.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-09",,"0.00",,,,,"25","21.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-10",,"0.30",,,,,"26","21.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-11",,"0.00",,,,,"29","21.3",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-12",,"0.00",,,,,"33","21.5",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-13",,"2.10",,,,,"30","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-14",,"0.20",,,,,"34","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-15",,"0.10",,,,,"34","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-16",,"0.50",,,,,"27","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-17",,"0.20",,,,,"33","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-18",,"0.20",,,,,"36","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-19",,"0.00",,,,,"13","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-20",,"0.00",,,,,"22","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-21",,"0.00",,,,,"31","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-22",,"0.00",,,,,"32","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-23",,"0.40",,,,,"19","23.1",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-24",,"1.20",,,,,"14","25.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-25",,"0.20",,,,,"13","25.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-26",,"0.10",,,,,"14","25.6",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-27",,"0.00",,,,,"23","25.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-02-28",,"0.10",,,,,"20","25.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-01",,"0.30",,,,,"23","26.2",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-02",,"0.00",,,,,"20","26.2",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-03",,"0.00",,,,,"21","26.2",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-04",,"0.00",,,,,"21","26.6",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-05",,"0.00",,,,,"22","26.9",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1981-03-06",,"0.00",,,,,"22","26.9",
