STATION,STATION_NAME,DATE,HPCP
COOP:048332,SODA SPRINGS 1 E CA US,19611122 20:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611125 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611125 15:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611125 16:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611125 17:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611125 18:00,0.11
COOP:048332,SODA SPRINGS 1 E CA US,19611125 19:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611125 20:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611125 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611125 23:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611126 00:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611126 01:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611126 02:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611126 03:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611126 04:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611126 05:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611126 06:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611126 07:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611126 08:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611126 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 10:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611126 11:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611126 12:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 13:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 14:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 15:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 16:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611126 22:00,0.01
